datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 09:56:00+05:30,53965.95,53930.9,53935.75,19.510428736962126,23.001158748552662,14.926996118932113,-3.4907300115905358,-3.186127317871561,Sideways,10.17,13.83,-3.66,Sideways,53956.1475,53982.55968767722,53929.73531232278,52.82437535443751,Sideways
2025-09-01 09:57:00+05:30,53951.95,53933.3,53935.2,17.038264537510656,23.922868333836874,15.036893512742022,-6.884603796326218,-3.79897100871635,Sideways,7.68,12.6,-4.92,Sideways,53954.69499999999,53982.394779592534,53926.99522040745,55.39955918508349,Sideways
2025-09-01 09:58:00+05:30,53953.05,53925.55,53951.75,16.46527878876032,25.3748726161025,15.467270434088261,-8.909593827342182,-4.116843874745915,Sideways,6.97,11.47,-4.51,Sideways,53954.15499999999,53981.63019263859,53926.67980736139,54.95038527720317,Sideways
2025-09-01 09:59:00+05:30,53966.35,53949.4,53951.65,21.150643451928644,24.057532172596694,15.709366915244328,-2.90688872066805,-3.2002157263669933,Sideways,6.32,10.44,-4.12,Sideways,53953.972499999996,53981.46415375741,53926.48084624258,54.98330751483445,Sideways
2025-09-01 10:00:00+05:30,53954.15,53940.15,53945.7,16.10417629834932,27.33857296964089,15.137781219755814,-11.23439667129157,-3.3479083198631834,Sideways,5.27,9.41,-4.14,Sideways,53954.03250000001,53981.442223111604,53926.62277688841,54.819446223191335,Sideways
2025-09-01 10:01:00+05:30,53949.5,53929.5,53932.4,15.922596373608048,26.83224135303951,16.504866848428666,-10.909644979431462,-4.266511347545094,Sideways,3.32,8.19,-4.87,Sideways,53953.340000000004,53982.237087815425,53924.44291218458,57.7941756308428,Sideways
2025-09-01 10:02:00+05:30,53939.75,53924.7,53933.75,14.97555012224763,28.377139364303616,18.415596241834173,-13.401589242055985,-5.417257730565172,Sideways,1.86,6.92,-5.06,Bearish,53953.31999999999,53982.273509013794,53924.36649098619,57.907018027603044,Sideways
2025-09-01 10:03:00+05:30,53936.15,53913.4,53918.0,15.844785772027494,27.291835084882184,19.09185012705425,-11.44704931285469,-7.12539646110339,Sideways,-0.55,5.43,-5.98,Bearish,53951.3775,53984.27775555815,53918.477244441856,65.80051111629291,Bearish
2025-09-01 10:04:00+05:30,53927.95,53908.85,53922.2,16.14497528830151,29.09390444810779,18.564684574623556,-12.94892915980628,-9.125936191262996,Sideways,-2.11,3.92,-6.03,Bearish,53950.03250000001,53985.42945608385,53914.63554391616,70.79391216769,Sideways
2025-09-01 10:05:00+05:30,53925.2,53900.35,53901.15,13.950518754987748,30.901835594575388,19.15471176473182,-16.95131683958764,-10.621556949929342,Sideways,-4.98,2.14,-7.12,Bearish,53946.9875,53988.05515759088,53905.91984240912,82.13531518176023,Bearish
2025-09-01 10:06:00+05:30,53906.85,53890.2,53891.7,7.777211750719977,36.3219561895086,23.272513853843,-28.54474443878862,-13.028239243536275,Bearish,-7.93,0.13,-8.05,Bearish,53943.265,53990.10962672103,53896.42037327897,93.68925344206218,Bearish
2025-09-01 10:07:00+05:30,53902.7,53889.05,53895.45,7.952769578050206,37.54123979857791,27.334722075685214,-29.588470220527707,-15.325892176112445,Bearish,-9.85,-1.87,-7.98,Bearish,53939.8975,53990.37177145535,53889.42322854465,100.94854291070078,Sideways
2025-09-01 10:08:00+05:30,53897.6,53866.95,53883.2,4.4149377593348635,43.21991701245167,32.383683273795604,-38.804979253116805,-19.314568901940085,Bearish,-12.21,-3.94,-8.28,Bearish,53935.9125,53991.10447953746,53880.720520462535,110.38395907492668,Sideways
2025-09-01 10:09:00+05:30,53897.65,53880.55,53891.6,4.5727008049321265,40.48638465491058,37.06575800664676,-35.913683849978455,-22.056711921794186,Bearish,-13.26,-5.8,-7.46,Bearish,53933.8,53992.45030174465,53875.14969825536,117.30060348928964,Sideways
2025-09-01 10:10:00+05:30,53897.9,53880.75,53886.95,4.962598066046022,32.91370187922211,41.75036639717604,-27.95110381317609,-23.95020734776581,Bearish,-14.3,-7.5,-6.8,Bearish,53930.597499999996,53992.21309504405,53868.981904955945,123.23119008810318,Sideways
2025-09-01 10:11:00+05:30,53900.1,53881.45,53888.75,5.76537128261116,32.913701879221236,45.563297066748206,-27.148330596610077,-25.477623053827372,Bearish,-14.81,-8.96,-5.85,Bearish,53927.594999999994,53991.29308639611,53863.89691360388,127.39617279222875,Sideways
2025-09-01 10:12:00+05:30,53903.65,53885.55,53889.9,7.311543548081984,31.15435480823963,48.46971989895367,-23.842811260157646,-26.854929936861037,weak Bearish,-14.95,-10.16,-4.79,Sideways,53923.530000000006,53985.87353383093,53861.186466169085,124.68706766184187,Sideways
2025-09-01 10:13:00+05:30,53891.85,53873.55,53877.4,2.2744360902267204,35.50751879699509,54.29330506374241,-33.23308270676837,-29.108724775412384,Bearish,-15.88,-11.3,-4.58,Sideways,53918.56,53978.83684900786,53858.28315099214,120.55369801571942,Sideways
2025-09-01 10:14:00+05:30,53887.65,53864.15,53864.15,2.196007259529245,34.33756805807924,58.730298488807875,-32.141560798549996,-30.796529659741527,Bearish,-17.49,-12.54,-4.95,Sideways,53912.777500000004,53970.45086770214,53855.10413229787,115.34673540426593,Sideways
2025-09-01 10:15:00+05:30,53865.05,53851.25,53862.25,2.2465651689576713,35.9636093575965,63.21060283653437,-33.71704418863883,-31.371229631947113,Bearish,-18.7,-13.77,-4.93,Sideways,53907.94500000001,53965.54290657746,53850.347093422555,115.19581315490359,Sideways
2025-09-01 10:16:00+05:30,53870.75,53852.8,53870.4,4.316678912564453,33.81704628949536,66.52827227117344,-29.500367376930907,-31.361440427103023,weak Bearish,-18.79,-14.78,-4.01,Sideways,53904.677500000005,53963.04330176602,53846.31169823399,116.73160353202547,Sideways
